,Dutch (nl),Positive,Negative
0,verrast,0,0
1,telraam,0,0
2,in de steek laten,0,1
3,verlaten,0,1
4,verlatenheid,0,1
5,verminderen,0,0
6,vermindering,0,0
7,abba,1,0
8,abt,0,0
9,afkorten,0,0
10,afkorting,0,0
11,buik,0,0
12,abdominaal,0,0
13,ontvoering,0,1
14,afwijkend,0,1
15,aberratie,0,1
16,onbeheerdheid,0,0
17,verafschuwen,0,1
18,weerzinwekkend,0,1
19,vertoeven,0,0
20,vermogen,1,0
21,verachtelijk,0,1
22,verwijdering,0,0
23,in lichterlaaie,0,0
24,abnormaal,0,1
25,aan boord,0,0
26,woonplaats,0,0
27,afschaffen,0,1
28,afschaffing,0,1
29,afschuwelijk,0,1
30,gruwel,0,1
31,inheems,0,0
32,afbreken,0,1
33,abortus,0,1
34,vruchteloos,0,1
35,rijk zijn,0,0
36,NO TRANSLATION,1,0
37,schuring,0,1
38,Buitenland,0,0
39,afschaffen,0,1
40,abrupt,0,0
41,abrupt,0,0
42,abces,0,1
43,afwezigheid,0,1
44,afwezig,0,1
45,afwezige,0,1
46,absenteïsme,0,1
47,absint,0,0
48,absoluut,1,0
49,absolutie,1,0
50,geabsorbeerd,1,0
51,absorbens,0,0
52,absorberen,0,0
53,absorptie,0,0
54,zich onthouden,0,0
55,onthouding,0,0
56,onthouding,0,0
57,abstract,0,0
58,abstractie,0,0
59,absurd,0,1
60,absurditeit,0,1
61,overvloed,1,1
62,overvloedig,1,0
63,misbruik,0,1
64,aanrakingspunt,0,0
65,NO TRANSLATION,0,0
66,onpeilbaar,0,1
67,afgrond,0,1
68,academische,1,0
69,academie,1,0
70,toetreden,0,0
71,versnellen,0,0
72,versnelling,0,0
73,accent,0,0
74,accentueren,0,0
75,aanvaarden,0,0
76,aanvaardbaar,1,0
77,aanvaarding,1,0
78,toegang,0,0
79,beschikbaar,1,0
80,toetreding,0,0
81,medeplichtig,0,0
82,ongeval,0,1
83,onopzettelijk,0,1
84,per ongeluk,0,0
85,accolade,1,0
86,accommoderen,0,0
87,accommodatie,1,0
88,begeleiding,1,0
89,begeleiden,0,0
90,begeleidend,0,0
91,medeplichtige,0,0
92,bereiken,1,0
93,volbracht,1,0
94,prestatie,1,0
95,overeenstemming,1,0
96,overeenstemming,0,0
97,accordeon,0,0
98,account,0,0
99,verantwoording,1,0
100,verantwoordelijk,1,0
101,accountant,0,0
102,accounting,0,0
103,rekeningen,0,0
104,geaccrediteerd,1,0
105,aanwas,0,0
106,toenemen,0,0
107,NO TRANSLATION,1,0
108,accumuleren,0,0
109,ophoping,0,0
110,nauwkeurigheid,0,0
111,accuraat,1,0
112,vervloekt,0,1
113,beschuldiging,0,1
114,accusatief,0,1
115,verdachte,0,1
116,aanklager,0,1
117,beschuldigen,0,1
118,gebruikelijk,0,0
119,aas,1,0
120,azijnzuur,0,0
121,pijn,0,1
122,bereiken,1,0
123,prestatie,1,0
124,pijnlijke,0,1
125,zuur,0,1
126,zuurheid,0,0
127,erkennen,0,0
128,erkend,0,0
129,erkenning,1,0
130,toppunt,0,0
131,akoestisch,0,0
132,akoestiek,0,0
133,bekend maken,0,0
134,kennis,0,0
135,kennis gemaakt,0,0
136,berusting,0,0
137,verkrijgen,1,0
138,verwerven,1,0
139,acquisitie,0,0
140,overnames,0,0
141,oppervlakte,0,0
142,acres,0,0
143,acrobaat,1,0
144,handelen,0,0
145,acteren,0,0
146,actie,1,0
147,actiegericht,0,1
148,actief,0,0
149,activiteit,0,0
150,acteur,0,0
151,werkelijk,1,0
152,actualiteit,0,0
153,actuaris,0,0
154,scherpheid,1,0
155,scherpzinnigheid,1,0
156,acupunctuur,0,0
157,acuut,0,0
158,gezegde,0,0
159,onvermurwbaar,0,0
160,zich aanpassen,1,0
161,aanpasbaar,1,0
162,toevoegen,0,0
163,toegevoegd,0,0
164,bijvoegsel,0,0
165,adder,0,1
166,verslaving,0,1
167,toevoeging,0,0
168,extra,0,0
169,toevoeging,0,0
170,adres,0,0
171,geadresseerde,0,0
172,adressen,1,0
173,bedreven,1,0
174,NO TRANSLATION,1,0
175,voldoende,0,0
176,aanhangen,0,0
177,aanhankelijkheid,0,0
178,aanhanger,0,0
179,hechtende,0,0
180,adhesie,0,0
181,zelfklevend,0,0
182,Adieu,0,0
183,vet,0,1
184,nabijheid,0,0
185,aangrenzend,0,0
186,bijvoeglijk naamwoord,0,0
187,aangrenzende,0,0
188,verdagen,0,0
189,verdaging,0,0
190,berechten,0,1
191,toewijzing,0,0
192,toevoegsel,1,0
193,aanpassen,0,0
194,aanpassing,0,0
195,adjuvans,0,0
196,beheren,0,0
197,administratie,0,0
198,administratief,0,0
199,bewonderenswaardig,1,0
200,admiraal,1,0
201,admiraliteit,0,0
202,bewondering,1,0
203,bewonderen,1,0
204,bewonderaar,1,0
205,toelaatbaarheid,0,0
206,toelaatbaar,1,0
207,toelating,0,0
208,toegeven,0,0
209,toelating,0,0
210,toegegeven,0,0
211,toelaten,0,0
212,toevoegsel,0,0
213,vermaning,0,1
214,ophef,0,0
215,adobe,0,0
